Employee_ID,First_Name,Last_Name,Age,Department,Region,Status,Join_Date,Salary,Salary_varience,Email,Phone,Performance_Score,Performance_numeric,Remote_Work,Tenure_variance,Years_Tenure
EMP1000,Bob,Davis,25,DevOps,California,Active,4/2/2021,59767.65,Low,bob.davis@example.com,1651623197,Average,2,true,4,4–5 Years
EMP1001,Bob,Brown,N/a,Finance,Texas,Active,7/10/2020,65304.66,Low-Mid,bob.brown@example.com,1898471390,Excellent,4,true,5,4–5 Years
EMP1002,Alice,Jones,N/a,Admin,Nevada,Pending,12/7/2023,88145.9,Up-Mid,alice.jones@example.com,5596363211,Good,3,true,2,2 Years
EMP1003,Eva,Davis,25,Admin,Nevada,Inactive,11/27/2021,69450.99,Low-Mid,eva.davis@example.com,3476490784,Good,3,true,4,4–5 Years
EMP1004,Frank,Williams,25,Cloud Tech,Florida,Active,1/5/2022,109324.61,High,frank.williams@example.com,1586734256,Poor,1,false,4,4–5 Years
EMP1005,Alice,Garcia,40,Sales,Texas,Inactive,6/10/2020,88642.84,Up-Mid,alice.garcia@example.com,5409003485,Good,3,false,5,4–5 Years
EMP1006,Frank,Jones,N/a,Admin,Nevada,Active,4/3/2020,96288.43,Up-Mid,frank.jones@example.com,4518376063,Good,3,false,5,4–5 Years
EMP1007,Bob,Jones,30,Cloud Tech,Florida,Inactive,7/17/2022,94497.91,Up-Mid,bob.jones@example.com,4134327559,Average,2,true,3,3 Years
EMP1008,Frank,Davis,35,Admin,Nevada,Inactive,12/8/2023,115565.82,High,frank.davis@example.com,4177656123,Excellent,4,true,2,2 Years
EMP1009,Charlie,Johnson,N/a,DevOps,New York,Active,8/4/2022,76561.88,Low-Mid,charlie.johnson@example.com,8156985699,Excellent,4,true,3,3 Years
EMP1010,David,Williams,35,Cloud Tech,New York,Active,7/6/2024,72081.71,Low-Mid,david.williams@example.com,2720634590,Average,2,false,1,1 Year
EMP1011,David,Davis,N/a,DevOps,California,Active,9/4/2023,84946.19,Low-Mid,david.davis@example.com,1238296576,Poor,1,true,2,2 Years
EMP1012,Heidi,Williams,30,HR,New York,Active,3/5/2024,89295.77,Up-Mid,heidi.williams@example.com,2429543164,Excellent,4,false,1,1 Year
EMP1013,Grace,Williams,N/a,Finance,California,Active,10/10/2020,85666.84,Up-Mid,grace.williams@example.com,2669300892,Good,3,false,5,4–5 Years
EMP1014,Alice,Garcia,25,Admin,Nevada,Active,6/10/2024,97633.68,Up-Mid,alice.garcia@example.com,1734206968,Excellent,4,true,1,1 Year
EMP1015,Grace,Jones,40,Sales,Florida,Pending,5/29/2021,117975.49,High,grace.jones@example.com,4215291085,Good,3,true,4,4–5 Years
EMP1016,Alice,Brown,25,DevOps,Illinois,Inactive,4/23/2024,94867.33,Up-Mid,alice.brown@example.com,7713334475,Poor,1,false,1,1 Year
EMP1017,Grace,Garcia,30,Finance,Texas,Pending,11/28/2024,100377.65,Up-Mid,grace.garcia@example.com,2639343625,Average,2,true,1,1 Year
EMP1018,Charlie,Garcia,N/a,Cloud Tech,Nevada,Inactive,9/19/2024,94726.46,Up-Mid,charlie.garcia@example.com,2044397358,Excellent,4,false,1,1 Year
EMP1019,Charlie,Williams,35,Admin,Illinois,Pending,1/2/2020,91926.12,Up-Mid,charlie.williams@example.com,7107256365,Average,2,true,6,5+ Years
EMP1020,Bob,Miller,35,HR,New York,Active,5/8/2021,111460.67,High,bob.miller@example.com,9411800536,Excellent,4,true,4,4–5 Years
EMP1021,Bob,Jones,40,Cloud Tech,Illinois,Active,9/19/2020,96182.56,Up-Mid,bob.jones@example.com,5990048963,Good,3,false,5,4–5 Years
EMP1022,Charlie,Johnson,35,Sales,Illinois,Inactive,3/9/2021,115023.94,High,charlie.johnson@example.com,6528092427,Average,2,true,4,4–5 Years
EMP1023,David,Garcia,35,Finance,Nevada,Pending,2/3/2022,80667.01,Low-Mid,david.garcia@example.com,7572158623,Excellent,4,false,4,4–5 Years
EMP1024,Bob,Brown,30,Admin,Texas,Inactive,2/13/2020,91181.61,Up-Mid,bob.brown@example.com,1502745643,Good,3,true,6,5+ Years
EMP1025,David,Miller,25,Cloud Tech,Nevada,Pending,4/30/2020,66025.92,Low-Mid,david.miller@example.com,9485625727,Average,2,false,5,4–5 Years
EMP1026,Frank,Miller,25,Sales,New York,Inactive,10/2/2023,83979.01,Low-Mid,frank.miller@example.com,7032032073,Average,2,false,2,2 Years
EMP1027,Heidi,Johnson,30,Finance,Florida,Active,7/12/2020,56785.16,Low,heidi.johnson@example.com,2761707586,Excellent,4,true,5,4–5 Years
EMP1028,Grace,Garcia,40,Finance,Nevada,Active,10/11/2023,95741.88,Up-Mid,grace.garcia@example.com,7712151341,Excellent,4,false,2,2 Years
EMP1029,Alice,Brown,40,DevOps,California,Active,5/24/2021,63411.31,Low,alice.brown@example.com,2849939088,Excellent,4,true,4,4–5 Years
EMP1030,Charlie,Jones,40,Admin,California,Inactive,5/26/2021,111214.02,High,charlie.jones@example.com,2613715040,Good,3,true,4,4–5 Years
EMP1031,Bob,Smith,25,DevOps,Illinois,Active,7/10/2020,114845.69,High,bob.smith@example.com,6591520176,Excellent,4,true,5,4–5 Years
EMP1032,Charlie,Brown,40,Finance,Florida,Active,11/5/2024,78072.82,Low-Mid,charlie.brown@example.com,7490509758,Average,2,false,1,1 Year
EMP1033,Grace,Johnson,25,Finance,California,Inactive,8/7/2021,79610.52,Low-Mid,grace.johnson@example.com,2304501895,Average,2,false,4,4–5 Years
EMP1034,Heidi,Miller,30,Admin,California,Active,4/29/2020,90542.62,Up-Mid,heidi.miller@example.com,1642361031,Excellent,4,true,5,4–5 Years
EMP1035,Frank,Jones,25,Cloud Tech,Illinois,Inactive,10/26/2022,114357.1,High,frank.jones@example.com,6642147648,Excellent,4,true,3,3 Years
EMP1036,Alice,Brown,N/a,Cloud Tech,New York,Active,5/3/2023,54757.26,Low,alice.brown@example.com,2515837766,Poor,1,false,2,2 Years
EMP1037,Grace,Smith,25,Sales,New York,Pending,5/2/2023,52781.92,Low,grace.smith@example.com,4996165925,Average,2,true,2,2 Years
EMP1038,Frank,Smith,35,Admin,Nevada,Pending,10/5/2021,66708.02,Low-Mid,frank.smith@example.com,6108573277,Good,3,true,4,4–5 Years
EMP1039,Eva,Williams,40,HR,Texas,Active,7/27/2022,93481.15,Up-Mid,eva.williams@example.com,8147617421,Poor,1,false,3,3 Years
